Office,Office Location,Office Area,BookShelf Number,Manager Name
"12, Old Post Office St.",Near High Court,,AKD-14,
"12, Old Post Office St.",Near High Court,,DM/1,
"12, Old Post Office St.",Near High Court,,A.K.D-1,
"12, Old Post Office St.",Near High Court,,D.D -1,
"12, Old Post Office St.",Near High Court,,Lib-3,
"12, Old Post Office St.",Near High Court,,R.G-1,
"12, Old Post Office St.",Near High Court,,S.T-3,
"12, Old Post Office St.",Near High Court,,RB/1,
"12, Old Post Office St.",Near High Court,,RG/1,
"12, Old Post Office St.",Near High Court,,AKD/14,
"12, Old Post Office St.",Near High Court,,DD/1,
"12, Old Post Office St.",Near High Court,,ST/3,
"12, Old Post Office St.",Near High Court,,LIB/3,
"12, Old Post Office St.",Near High Court,,AKD/1,
"12, Old Post Office St.",Near High Court,,SG/3,
"12, Old Post Office St.",Near High Court,,Top Flr.,
"12, Old Post Office St.",Near High Court,,CONF1,
"12, Old Post Office St.",Near High Court,,AKD/2,
"12, Old Post Office St.",Near High Court,,ST/1,
"12, Old Post Office St.",Near High Court,,SG/5,
"12, Old Post Office St.",Near High Court,,SG/6,
"12, Old Post Office St.",Near High Court,,CONF 1,
"12, Old Post Office St.",Near High Court,,DM/4,
"12, Old Post Office St.",Near High Court,,TOP FLR,
"12, Old Post Office St.",Near High Court,,DM/14,
"12, Old Post Office St.",Near High Court,,AKD/8,
"12, Old Post Office St.",Near High Court,,AKD/5,
"12, Old Post Office St.",Near High Court,,AKD/6,
"12, Old Post Office St.",Near High Court,,AKD/9,
"12, Old Post Office St.",Near High Court,,DD/9,
"12, Old Post Office St.",Near High Court,,AKD,
